gx,gy,gz,ax,ay,az,time,gesture_type,timestamp
0.132571816,0.029038407,-0.062483389,-0.160972297,0.013730198,1.039296627,24:56.8,tv-poke-aa,0.1
-0.225212365,-0.101634428,-0.181041613,-0.154322445,-0.03034503,0.985751927,24:56.8,tv-poke-aa,0.15
-0.52869004,-0.018149003,0.366889626,-0.281586826,0.202030644,1.048488975,24:56.9,tv-poke-aa,0.2
0.132571816,-0.548099935,0.736983538,-0.14492093,0.654782474,1.351832628,24:56.9,tv-poke-aa,0.25
0.621330559,-0.600732028,0.861950338,-0.023389168,0.854620934,1.38814187,24:57.0,tv-poke-aa,0.3
1.079741597,0.125228137,-0.177837342,-0.059390087,0.812391818,0.949442625,24:57.0,tv-poke-aa,0.35
0.988698244,0.415612191,-0.873165309,-0.18046324,0.614168644,0.9283005,24:57.1,tv-poke-aa,0.4
0.81619519,-0.718700588,0.075300492,-0.252006471,0.119879961,0.780765176,24:57.1,tv-poke-aa,0.45
0.937586248,-1.137942553,0.16662237,-0.079568945,0.053420983,0.741008759,24:57.2,tv-poke-aa,0.5
-0.915224731,-0.010889403,-1.655008674,0.016051328,-1.075920224,0.838216603,24:57.2,tv-poke-aa,0.55
0.06548728,0.009074502,0.656876624,0.117633536,-0.901696146,1.153050542,24:57.3,tv-poke-aa,0.6
0.214031607,0.049002312,0.828305423,0.166704848,-0.872158825,1.077904105,24:57.3,tv-poke-aa,0.65
-0.333825409,0.914709806,0.741789997,0.077963732,-0.954540253,0.972653031,24:57.4,tv-poke-aa,0.7
0.087848797,-0.477318823,1.515622735,0.046090309,-0.636090994,0.855222285,24:57.4,tv-poke-aa,0.75
0.087848797,-0.477318823,1.515622735,0.046090309,-0.636090994,0.855222285,24:57.5,tv-poke-aa,0.8
-1.512596488,1.32306242,0.913218737,0.204310909,0.230183408,0.990348101,24:57.5,tv-poke-aa,0.85
-1.186757326,-0.413797289,-0.193858713,0.043797258,1.307603478,1.418246508,24:57.6,tv-poke-aa,0.9
-0.073473535,-0.364794999,-0.336449027,-0.229305252,0.778008521,1.425140619,24:57.6,tv-poke-aa,0.95
0.477577984,-0.290384054,0.192256585,0.058243487,0.013499439,0.911754489,24:57.7,tv-poke-aa,1
0.11979381,-0.328496993,0.142590299,0.088053167,-0.068420485,0.932896614,24:57.7,tv-poke-aa,1.05
0.11979381,-0.328496993,0.142590299,0.088053167,-0.068420485,0.932896614,24:57.8,tv-poke-aa,1.1
-0.284310639,0.332126766,0.116956085,-0.054574676,-0.100726932,0.885556638,24:57.8,tv-poke-aa,1.15
-0.180489346,-0.101634428,0.044859868,-0.04288011,-0.08688131,1.009881496,24:59.2,tv-poke-aa,1.2
0.049514774,0.074410915,-0.001602138,-0.034625124,-0.081573829,0.989888489,24:59.2,tv-poke-aa,1.25
0.049514774,0.074410915,-0.001602138,-0.034625124,-0.081573829,0.989888489,24:59.3,tv-poke-aa,1.3
0.033542268,-0.068966217,0.099332564,-0.081632689,-0.084804475,1.002527714,24:59.3,tv-poke-aa,1.35
-0.025556013,-0.012704303,0.073698357,-0.078881025,-0.100034654,1.004136443,24:59.4,tv-poke-aa,1.4
0,0,0,0,0,0,25:00.8,tv-poke-aa,1.45
0,0,0,0,0,0,25:00.8,tv-poke-aa,1.5
0,0,0,0,0,0,25:00.8,tv-poke-aa,1.55
0,0,0,0,0,0,25:00.8,tv-poke-aa,1.6
0,0,0,0,0,0,25:00.8,tv-poke-aa,1.65
0,0,0,0,0,0,25:00.8,tv-poke-aa,1.7
0,0,0,0,0,0,25:00.8,tv-poke-aa,1.75
0,0,0,0,0,0,25:00.8,tv-poke-aa,1.8
